"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 02 18:54:31 EEST 2020","Thu Jul 02 18:54:31 EEST 2020","547","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Thu Jul 02 18:54:31 EEST 2020","Thu Jul 02 18:54:32 EEST 2020","676","Actions","","","","",".clear() - clears an input or textarea element",""
"failed","Thu Jul 02 18:54:25 EEST 2020","Thu Jul 02 18:54:31 EEST 2020","5456","Actions","","","","",".focus() - focus on a DOM element",""
